time, fast, fast1, slow, tLine, macd, signalLine, longBool, shorBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1671126360.745686, 389.56, 389.58, 389.68, 389.52, -0.11, -0.0, False, False, False, True, False, True, False, 389.45, 389.45, 389.45, 389.45, 100000.0, 0.0, 100000.0
1671130800.745686, 388.54, 388.5, 388.52, 388.6, 0.1, 0.03, False, False, False, False, False, False, False, 388.76, 388.76, 388.76, 388.76, 100034.19, -19826.76, 119860.95
1671131160.745686, 388.51, 388.54, 388.53, 388.48, 0.06, 0.08, False, False, False, True, False, True, False, 388.37, 388.37, 388.37, 388.37, 100033.19, 0.0, 100033.19
1671136200.745686, 390.3, 390.23, 389.93, 390.36, 0.14, 0.07, False, False, False, False, False, False, False, 390.63, 390.63, 390.63, 390.63, 99914.67000000001, -20312.76, 120227.43000000001
1671203280.745686, 384.7, 384.83, 386.13, 384.45, -0.69, -0.58, False, False, False, True, False, True, False, 383.96, 383.96, 383.96, 383.96, 99913.67000000001, 0.0, 99913.67000000001
1671208680.745686, 382.85, 382.83, 382.83, 382.82, 0.05, 0.02, False, False, False, False, False, False, False, 382.9, 382.9, 382.9, 382.9, 99967.79000000001, -19910.8, 119878.59000000001
1671209400.745686, 382.16, 382.23, 382.55, 382.03, -0.24, -0.13, False, False, False, True, False, True, False, 381.72, 381.72, 381.72, 381.72, 99966.79000000001, 0.0, 99966.79000000001
1671212640.745686, 382.08, 382.13, 382.1, 382.0, 0.03, 0.09, False, False, False, False, False, False, False, 381.8, 381.8, 381.8, 381.8, 99961.63, -19853.600000000002, 119815.23000000001
1671215760.745686, 381.51, 381.49, 381.49, 381.57, 0.06, -0.01, False, False, True, False, False, True, False, 381.59, 381.59, 381.59, 381.59, 99960.63, 0.0, 99960.63
1671216000.745686, 381.49, 381.5, 381.5, 381.47, 0.06, 0.03, False, False, False, False, False, False, False, 381.44, 381.44, 381.44, 381.44, 99951.83000000002, 19834.88, 80116.95000000001
1671218940.745686, 381.93, 381.95, 381.94, 381.9, -0.07, 0.01, False, False, False, True, False, True, False, 381.79, 381.79, 381.79, 381.79, 99950.83000000002, 0.0, 99950.83000000002
1671220260.745686, 381.81, 381.76, 381.78, 381.88, 0.01, -0.05, False, False, False, False, False, False, False, 382.07, 382.07, 382.07, 382.07, 99935.27000000002, -19867.64, 119802.91000000002
1671220620.745686, 382.28, 382.23, 381.96, 382.44, 0.19, 0.08, False, False, True, False, False, True, False, 382.59, 382.59, 382.59, 382.59, 99934.27000000002, 0.0, 99934.27000000002
1671222600.745686, 383.97, 383.95, 383.27, 384.14, 0.37, 0.35, False, False, False, False, False, False, False, 384.09, 384.09, 384.09, 384.09, 100011.27000000002, 19972.68, 80038.59000000003
